DName,Enroll12,NumTSTTakr12,NumERWBenchmark12,NumMathBenchmark12,TotNumBothBenchmark12,PctTstTakers,PctERWBenchmark12,PctMathBenchmark12,PctBothBenchmark12,SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%,PctDiv,DiversityCat
Oceanside Unified,2953,774,570.0,437.0,401.0,0.26210633254317645,0.7364341085271318,0.5645994832041343,0.5180878552971576,Oceanside Unified,137299.0,56039.0,81260.0,0.408153009126068,0.5918469908739321,0.591846990873932,1
Orange Unified,4473,3726,2101.0,1417.0,1339.0,0.8329979879275654,0.5638754696725711,0.380300590445518,0.3593666129898014,Orange Unified,222655.0,88502.0,134153.0,0.39748489816083177,0.6025151018391682,0.6025151018391682,1
Palm Springs Unified,3364,931,593.0,295.0,280.0,0.27675386444708683,0.6369495166487648,0.31686358754027927,0.3007518796992481,Palm Springs Unified,172144.0,78449.0,93695.0,0.4557173064411191,0.5442826935588809,0.5442826935588809,1
Palo Alto Unified,2028,734,706.0,670.0,664.0,0.3619329388560158,0.9618528610354223,0.9128065395095368,0.9046321525885559,Palo Alto Unified,86179.0,44369.0,41810.0,0.5148470044906531,0.4851529955093468,0.4851529955093469,1
Paramount Unified,2558,2000,708.0,370.0,316.0,0.7818608287724785,0.354,0.185,0.158,Paramount Unified,79098.0,4871.0,74227.0,0.0615818351917874,0.9384181648082126,0.9384181648082126,3
Pasadena Unified,2668,1139,759.0,464.0,434.0,0.4269115442278861,0.6663740122914837,0.4073748902546093,0.3810359964881475,Pasadena Unified,209755.0,82708.0,127047.0,0.39430764463302426,0.6056923553669757,0.6056923553669757,1
Placentia-Yorba Linda Unified,4090,1473,1254.0,1137.0,1083.0,0.36014669926650367,0.8513238289205702,0.7718940936863544,0.7352342158859471,Placentia-Yorba Linda Unified,164068.0,80323.0,83745.0,0.4895713972255406,0.5104286027744593,0.5104286027744593,1
Pleasanton Unified,2403,876,834.0,742.0,736.0,0.3645443196004994,0.952054794520548,0.8470319634703196,0.8401826484018264,Pleasanton Unified,82375.0,41540.0,40835.0,0.5042792109256449,0.4957207890743551,0.49572078907435513,1
Pomona Unified,3367,1294,713.0,354.0,330.0,0.38431838431838433,0.5510046367851623,0.2735703245749614,0.2550231839258114,Pomona Unified,167431.0,20509.0,146922.0,0.122492250539028,0.8775077494609721,0.877507749460972,3
Poway Unified,5635,2204,2032.0,1804.0,1764.0,0.3911268855368234,0.9219600725952813,0.8185117967332124,0.8003629764065335,Poway Unified,207252.0,111971.0,95281.0,0.5402649914114218,0.4597350085885781,0.4597350085885782,0
Redlands Unified,3616,2211,1563.0,1187.0,1101.0,0.6114491150442478,0.7069199457259159,0.5368611488014473,0.49796472184531887,Redlands Unified,125864.0,63297.0,62567.0,0.5028999555075321,0.4971000444924681,0.4971000444924679,1
Redondo Beach Unified,1466,380,350.0,302.0,296.0,0.2592087312414734,0.9210526315789473,0.7947368421052632,0.7789473684210526,Redondo Beach Unified,66757.0,40038.0,26719.0,0.5997573288194497,0.4002426711805504,0.40024267118055035,0
Rialto Unified,3691,934,542.0,330.0,302.0,0.25304795448387973,0.5802997858672377,0.3533190578158458,0.3233404710920771,Rialto Unified,127846.0,11777.0,116069.0,0.09211864274204903,0.9078813572579508,0.9078813572579509,3
Riverside Unified,6533,2572,1739.0,1185.0,1089.0,0.39369355579366294,0.6761275272161742,0.4607309486780715,0.4234059097978227,Riverside Unified,273922.0,86982.0,186940.0,0.3175429501828988,0.6824570498171012,0.6824570498171012,2
Rocklin Unified,2247,831,749.0,647.0,631.0,0.369826435246996,0.901323706377858,0.7785800240673887,0.7593261131167268,Rocklin Unified,67658.0,48582.0,19076.0,0.7180525584557628,0.2819474415442372,0.28194744154423723,0
Rowland Unified,2132,763,535.0,375.0,345.0,0.3578799249530957,0.7011795543905636,0.49148099606815204,0.4521625163826999,Rowland Unified,104527.0,7715.0,96812.0,0.07380868101064797,0.926191318989352,0.926191318989352,3
Sacramento City Unified,5861,1533,976.0,697.0,643.0,0.2615594608428596,0.6366601435094585,0.4546640574037834,0.41943900848010435,Sacramento City Unified,340967.0,125166.0,215801.0,0.3670912434341153,0.6329087565658846,0.6329087565658846,2
Saddleback Valley Unified,4574,1382,1222.0,966.0,938.0,0.3021425448185396,0.8842257597684515,0.6989869753979739,0.678726483357453,Saddleback Valley Unified,221561.0,127904.0,93657.0,0.5772857136409386,0.4227142863590614,0.4227142863590614,0
San Bernardino City Unified,6289,1849,1042.0,521.0,483.0,0.29400540626490695,0.5635478637101136,0.2817739318550568,0.26122228231476474,San Bernardino City Unified,274310.0,34539.0,239771.0,0.1259122890160767,0.8740877109839233,0.8740877109839233,3
San Francisco Unified,8462,4502,3152.0,2756.0,2492.0,0.5320255258804065,0.7001332741003998,0.6121723678365171,0.5535317636605953,San Francisco Unified,881549.0,351010.0,530539.0,0.3981741230493143,0.6018258769506857,0.6018258769506857,1
San Jose Unified,4918,1289,1013.0,769.0,741.0,0.26209841398942657,0.7858805275407292,0.5965865011636928,0.5748642358417377,San Jose Unified,267670.0,98358.0,169312.0,0.3674599320058281,0.632540067994172,0.632540067994172,2
San Juan Unified,8421,1855,1526.0,1089.0,1051.0,0.2202826267664173,0.8226415094339623,0.5870619946091644,0.5665768194070081,San Juan Unified,344735.0,223615.0,121120.0,0.6486576645829405,0.3513423354170595,0.3513423354170595,0
San Leandro Unified,1416,386,276.0,166.0,154.0,0.2725988700564972,0.7150259067357513,0.43005181347150256,0.39896373056994816,San Leandro Unified,71017.0,14691.0,56326.0,0.20686596167114915,0.7931340383288509,0.7931340383288509,2
San Lorenzo Unified,2104,728,488.0,340.0,302.0,0.34600760456273766,0.6703296703296703,0.46703296703296704,0.41483516483516486,San Lorenzo Unified,82722.0,14550.0,68172.0,0.1758903314716762,0.8241096685283238,0.8241096685283238,3
San Luis Coastal Unified,1158,370,342.0,294.0,288.0,0.31951640759930916,0.9243243243243243,0.7945945945945946,0.7783783783783784,San Luis Coastal Unified,94635.0,65652.0,28983.0,0.6937391028689174,0.30626089713108257,0.3062608971310826,0
San Marcos Unified,2866,1063,891.0,623.0,601.0,0.37090020935101187,0.8381937911571026,0.5860771401693321,0.5653809971777987,San Marcos Unified,130905.0,69106.0,61799.0,0.5279095527290784,0.4720904472709216,0.47209044727092164,0
San Ramon Valley Unified,5165,1862,1780.0,1589.0,1567.0,0.36050338818973865,0.9559613319011815,0.8533834586466166,0.8415682062298604,San Ramon Valley Unified,158981.0,83128.0,75853.0,0.5228800925896805,0.4771199074103194,0.4771199074103195,0
Santa Ana Unified,8248,6296,2325.0,1580.0,1346.0,0.7633365664403492,0.36928208386277,0.25095298602287164,0.21378653113087676,Santa Ana Unified,265992.0,26843.0,239149.0,0.100916568919366,0.899083431080634,0.899083431080634,3
Santa Barbara Unified,3209,1071,943.0,750.0,734.0,0.33374883141165473,0.880485527544351,0.7002801120448179,0.6853408029878618,Santa Barbara Unified,86268.0,48187.0,38081.0,0.5585732832568275,0.4414267167431725,0.44142671674317246,0
Santa Clara Unified,2024,564,482.0,387.0,375.0,0.27865612648221344,0.8546099290780141,0.6861702127659575,0.6648936170212766,Santa Clara Unified,173146.0,47634.0,125512.0,0.27510886766081805,0.724891132339182,0.724891132339182,2
Santa Monica-Malibu Unified,1771,718,626.0,506.0,500.0,0.4054206662902315,0.871866295264624,0.7047353760445683,0.6963788300835655,Santa Monica-Malibu Unified,103174.0,68910.0,34264.0,0.6679008277279159,0.3320991722720841,0.3320991722720841,0
Simi Valley Unified,2661,639,564.0,436.0,410.0,0.24013528748590757,0.8826291079812206,0.6823161189358372,0.6416275430359938,Simi Valley Unified,128972.0,76187.0,52785.0,0.5907251186304004,0.4092748813695996,0.40927488136959955,0
South San Francisco Unified,1289,472,392.0,314.0,302.0,0.3661753297129558,0.8305084745762712,0.6652542372881356,0.6398305084745762,South San Francisco Unified,84539.0,15571.0,68968.0,0.1841871798814748,0.8158128201185252,0.8158128201185252,3
Stockton Unified,5083,1848,998.0,586.0,516.0,0.3635648239228802,0.54004329004329,0.3170995670995671,0.2792207792207792,Stockton Unified,211030.0,33951.0,177079.0,0.1608823390039331,0.8391176609960669,0.8391176609960669,3
Temecula Valley Unified,4651,2019,1718.0,1186.0,1142.0,0.43410019350677276,0.8509162951956414,0.5874195146111937,0.5656265477959386,Temecula Valley Unified,167128.0,86393.0,80735.0,0.5169271456608109,0.4830728543391891,0.4830728543391891,0
Torrance Unified,4117,1590,1390.0,1154.0,1124.0,0.38620354627155695,0.8742138364779874,0.7257861635220125,0.7069182389937106,Torrance Unified,143154.0,48804.0,94350.0,0.3409195691353368,0.6590804308646633,0.6590804308646632,2
Turlock Unified,2294,785,598.0,374.0,356.0,0.3421970357454228,0.7617834394904459,0.4764331210191083,0.4535031847133758,Turlock Unified,76010.0,37453.0,38557.0,0.4927377976582029,0.5072622023417971,0.5072622023417971,1
Tustin Unified,3871,1521,1261.0,982.0,950.0,0.3929217256522862,0.8290598290598291,0.6456278763971072,0.6245890861275477,Tustin Unified,138628.0,51174.0,87454.0,0.3691462042300257,0.6308537957699744,0.6308537957699742,1
Twin Rivers Unified,3794,2293,759.0,390.0,353.0,0.6043753294675804,0.3310074138682948,0.170082860880942,0.15394679459223726,Twin Rivers Unified,187886.0,70086.0,117800.0,0.37302406778578495,0.626975932214215,0.626975932214215,1
Upland Unified,1631,592,458.0,292.0,284.0,0.3629675045984059,0.7736486486486487,0.49324324324324326,0.4797297297297297,Upland Unified,78784.0,29707.0,49077.0,0.37706894800974816,0.6229310519902518,0.6229310519902518,1
Vacaville Unified,1856,700,549.0,401.0,375.0,0.3771551724137931,0.7842857142857143,0.5728571428571428,0.5357142857142857,Vacaville Unified,82581.0,40304.0,42277.0,0.4880541528923118,0.5119458471076882,0.5119458471076882,1
Val Verde Unified,3034,2613,1026.0,507.0,449.0,0.8612392880685563,0.39265212399540755,0.19402985074626866,0.17183314198239572,Val Verde Unified,90550.0,8914.0,81636.0,0.0984428492545555,0.9015571507454444,0.9015571507454445,3
Vallejo City Unified,1856,551,330.0,140.0,132.0,0.296875,0.5989110707803993,0.2540834845735027,0.2395644283121597,Vallejo City Unified,126400.0,29351.0,97049.0,0.23220727848101266,0.7677927215189874,0.7677927215189874,2
Ventura Unified,2498,696,586.0,436.0,428.0,0.27862289831865494,0.8419540229885057,0.6264367816091954,0.6149425287356322,Ventura Unified,119457.0,65220.0,54237.0,0.5459705165875587,0.4540294834124413,0.4540294834124413,0
Visalia Unified,4021,923,704.0,435.0,417.0,0.2295448893310122,0.7627302275189599,0.4712892741061755,0.4517876489707476,Visalia Unified,161036.0,55403.0,105633.0,0.3440410839812216,0.6559589160187784,0.6559589160187784,2
Vista Unified,3886,1051,796.0,641.0,603.0,0.27045805455481214,0.7573739295908658,0.609895337773549,0.5737392959086585,Vista Unified,161949.0,67958.0,93991.0,0.4196259316204484,0.5803740683795516,0.5803740683795515,1
West Contra Costa Unified,4961,3540,1556.0,862.0,794.0,0.7135658133440839,0.43954802259887005,0.24350282485875707,0.22429378531073446,West Contra Costa Unified,255228.0,57040.0,198188.0,0.2234864513297914,0.7765135486702086,0.7765135486702086,2
Woodland Joint Unified,1460,446,306.0,194.0,178.0,0.30547945205479454,0.6860986547085202,0.4349775784753363,0.3991031390134529,Woodland Joint Unified,68616.0,31440.0,37176.0,0.4582021685904162,0.5417978314095838,0.5417978314095838,1
Yuba City Unified,1801,407,337.0,230.0,230.0,0.22598556357579122,0.828009828009828,0.5651105651105651,0.5651105651105651,Yuba City Unified,76200.0,30891.0,45309.0,0.4053937007874016,0.5946062992125984,0.5946062992125984,1
